x,eval,fitness
"[14, 7, 3, 13, 2, 6, 0, 11, 12, 5, 15, 8, 16, 4, 9, 1, 10]",3469,0.0
"[13, 14, 2, 16, 4, 7, 5, 15, 11, 8, 3, 6, 12, 9, 10, 1, 0]",3526,0.0
"[16, 14, 11, 15, 8, 7, 13, 6, 5, 0, 12, 3, 2, 4, 10, 1, 9]",3196,0.0
"[14, 11, 15, 8, 7, 13, 6, 5, 0, 12, 16, 3, 2, 4, 10, 1, 9]",3005,0.0
"[15, 8, 7, 13, 14, 16, 9, 10, 2, 4, 1, 12, 0, 6, 5, 3, 11]",3116,0.0
"[9, 10, 4, 1, 13, 2, 14, 12, 0, 16, 11, 15, 8, 7, 5, 3, 6]",3012,0.0
"[14, 16, 11, 15, 8, 7, 13, 6, 5, 0, 12, 3, 2, 4, 10, 1, 9]",2899,0.0
"[2, 14, 13, 9, 10, 4, 1, 6, 5, 16, 11, 15, 8, 7, 0, 12, 3]",2926,0.0
"[11, 15, 8, 7, 13, 6, 5, 2, 14, 9, 10, 4, 1, 16, 0, 12, 3]",2752,0.0
"[8, 3, 7, 13, 1, 9, 4, 10, 14, 2, 5, 16, 11, 15, 0, 12, 6]",2793,0.0
"[2, 14, 0, 12, 6, 5, 16, 11, 15, 8, 3, 7, 13, 1, 9, 4, 10]",2706,0.0
"[12, 8, 11, 15, 0, 6, 7, 5, 16, 13, 2, 14, 9, 10, 4, 1, 3]",2458,0.0
"[10, 13, 14, 2, 5, 16, 11, 15, 8, 0, 12, 6, 7, 3, 4, 1, 9]",2664,0.0
"[13, 1, 9, 4, 10, 14, 2, 8, 11, 15, 0, 6, 7, 5, 16, 3, 12]",2509,0.0
"[8, 11, 15, 0, 5, 12, 6, 7, 13, 2, 14, 9, 10, 4, 1, 16, 3]",2501,0.0
"[2, 8, 11, 15, 0, 6, 7, 5, 16, 3, 12, 13, 14, 9, 10, 4, 1]",2433,0.0
"[8, 11, 15, 0, 6, 7, 5, 16, 14, 13, 1, 9, 4, 10, 2, 12, 3]",2401,0.0
"[12, 13, 14, 2, 1, 9, 4, 10, 8, 11, 15, 0, 6, 7, 5, 16, 3]",2330,0.0
"[16, 3, 12, 13, 14, 2, 1, 9, 4, 10, 8, 11, 15, 0, 6, 7, 5]",2330,0.0
