x1,eval
"[1.44, 4.42, 2.16, 1.72, 6.49, 3.4, 5.58, 0.28]",6
"[1.44, 4.42, 2.16, 1.72, 6.49, 3.4, 5.58, 0.28]",6
"[1.44, 4.42, 2.16, 1.72, 6.49, 3.4, 5.58, 0.28]",6
"[1.44, 4.42, 2.16, 1.72, 6.49, 3.4, 5.58, 0.28]",6
"[1.44, 4.42, 2.16, 1.72, 6.49, 3.4, 5.58, 0.28]",6
"[1.44, 4.42, 2.16, 1.72, 6.49, 3.4, 5.58, 0.28]",6
"[1.44, 4.42, 2.16, 1.72, 6.49, 3.4, 5.58, 0.28]",6
"[1.44, 4.42, 2.16, 1.72, 6.49, 3.4, 5.58, 0.28]",6
"[1.44, 4.42, 2.16, 1.72, 6.49, 3.4, 5.58, 0.28]",6
"[1.44, 4.42, 2.16, 1.72, 6.49, 3.4, 5.58, 0.28]",6
"[1.44, 4.42, 2.16, 1.72, 6.49, 3.4, 5.58, 0.28]",6
"[1.44, 4.42, 2.16, 1.72, 6.49, 3.4, 5.58, 0.28]",6
"[1.44, 4.42, 2.16, 1.72, 6.49, 3.4, 5.58, 0.28]",6
"[2.16, 6.49, 3.4, 1.44, 4.42, 1.72, 5.58, 0.28]",4
"[2.16, 6.49, 3.4, 1.44, 4.42, 1.72, 5.58, 0.28]",4
"[2.16, 6.49, 3.4, 1.44, 4.42, 1.72, 5.58, 0.28]",4
"[2.16, 6.49, 3.4, 1.44, 4.42, 1.72, 5.58, 0.28]",4
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
"[3.4, 1.44, 6.49, 2.16, 5.58, 1.72, 4.42, 0.28]",2
