x1,eval
"[3.87, 12.22, 5.9, 8.85, 12.64, 12.12, 15.88, 3.0, 7.32, 8.79, 12.18, 7.16, 7.72, 8.03, 13.71, 0.91, 0.71]",2577
"[3.87, 12.22, 5.9, 8.85, 12.64, 12.12, 15.88, 3.0, 7.32, 8.79, 12.18, 7.16, 7.72, 8.03, 13.71, 0.91, 0.71]",2577
"[3.87, 12.22, 5.9, 8.85, 12.64, 12.12, 15.88, 3.0, 7.32, 8.79, 12.18, 7.16, 7.72, 8.03, 13.71, 0.91, 0.71]",2577
"[3.87, 12.22, 5.9, 8.85, 12.64, 12.12, 15.88, 3.0, 7.32, 8.79, 12.18, 7.16, 7.72, 8.03, 13.71, 0.91, 0.71]",2577
"[3.87, 12.22, 5.9, 8.85, 12.64, 12.12, 15.88, 3.0, 7.32, 8.79, 12.18, 7.16, 7.72, 8.03, 13.71, 0.91, 0.71]",2577
"[6.75, 6.91, 2.72, 14.4, 5.58, 13.17, 7.48, 2.32, 13.73, 3.87, 12.22, 5.9, 7.53, 8.85, 12.64, 12.12, 15.88, 3.0]",2180
"[12.64, 5.79, 6.45, 6.74, 13.17, 7.48, 13.5, 7.3, 10.32, 10.04, 4.82, 7.05, 3.87, 12.22, 5.9, 8.85, 12.12]",1908
"[7.71, 5.79, 6.45, 6.74, 6.75, 6.91, 2.72, 14.4, 5.58, 13.17, 7.48, 2.32, 13.73, 3.87, 12.22, 5.9, 7.53, 8.85]",1734
"[5.61, 7.97, 14.93, 14.88, 6.36, 12.94, 0.08, 5.26, 13.69, 12.75, 5.36, 5.79, 6.45, 6.74, 13.17, 7.48, 13.5, 7.3]",1577
"[6.75, 6.91, 7.71, 5.79, 6.45, 6.74, 2.72, 14.4, 5.58, 13.17, 7.48, 2.32, 13.73, 3.87, 12.22, 5.9, 7.53]",1294
"[6.75, 6.91, 7.71, 5.79, 6.45, 6.74, 2.72, 14.4, 5.58, 13.17, 7.48, 2.32, 13.73, 3.87, 12.22, 5.9, 7.53]",1294
"[13.95, 13.5, 7.3, 3.87, 12.22, 5.9, 13.73, 7.7, 6.36, 12.94, 0.08, 5.79, 6.45, 6.74, 6.75, 6.91, 2.72, 14.4]",1201
"[13.17, 7.7, 6.75, 6.91, 7.71, 6.36, 12.94, 0.08, 5.79, 6.45, 6.74, 2.72, 14.4, 5.58, 7.48, 2.32, 13.73]",1159
"[7.48, 3.87, 12.22, 2.72, 14.4, 5.58, 6.75, 6.91, 7.71, 5.79, 6.45, 6.74, 13.17, 2.32, 13.73, 5.9, 7.53]",1125
"[12.12, 6.75, 6.91, 7.48, 2.32, 13.5, 7.3, 3.87, 12.22, 13.17, 13.73, 7.83, 5.9, 7.7, 7.16, 7.52, 5.79, 6.45, 6.74]",1009
"[6.45, 6.74, 6.75, 6.91, 6.36, 7.83, 3.87, 12.64, 12.12, 12.94, 0.08, 5.26, 7.48, 13.5, 14.93, 14.76, 2.32, 13.73, 12.22, 5.58, 5.9]",998
"[5.79, 6.45, 6.74, 6.75, 6.91, 6.36, 7.83, 3.87, 12.64, 12.12, 12.94, 0.08, 5.26, 7.48, 13.5, 14.93, 14.76, 2.32]",808
